335,336
118,1955
15,101
83,457
178,181
118,1875
515,901
490,1346
523,2477
87,148
83,2333
515,900
449,1570
118,1953
118,2030
0,842
1462,1548
505,648
46,720
358,2420
449,185
118,117
449,530
479,1660
45,1964
463,102
60,889
881,1488
92,166
85,2009
1706,1708
1706,1717
477,386
240,1363
232,1239
1516,310
1428,1107
77,837
218,694
786,1225
786,2410
498,668
392,114
543,1467
1213,670
332,331
1825,1994
709,710
434,1829
1112,2361
769,1172
1579,1075
323,322
1114,1012
1145,845
1470,2158
116,1959
1556,1837
177,1224
850,1575
881,2156
558,614
2450,690
2393,690
186,1626
79,1291
816,1519
477,2083
582,1538
905,1926
605,604
949,1518
396,2397
905,1468
373,714
505,2462
505,1547
1084,2433
1153,761
1585,1618
588,66
515,902
128,572
128,1843
797,1771
389,1173
2355,1712
51,1952
2439,1402
168,1545
1114,1505
115,760
551,1549
1332,380
319,1538
400,994
363,2175
128,166
1507,1626
155,994
